plot,lidar,Total return count,Return 1 count,Return 2 count,Return 3 count,Return 4 count,Return 5 count,Return 6 count,Return 7 count,Return 8 count,Return 9 count,Other return count,Elev minimum,Elev maximum,Elev mean,Elev mode,Elev stddev,Elev variance,Elev CV,Elev IQ,Elev skewness,Elev kurtosis,Elev AAD,Elev MAD median,Elev MAD mode,Elev L1,Elev L2,Elev L3,Elev L4,Elev L CV,Elev L skewness,Elev L kurtosis,Elev P01,Elev P05,Elev P10,Elev P20,Elev P25,Elev P30,Elev P40,Elev P50,Elev P60,Elev P70,Elev P75,Elev P80,Elev P90,Elev P95,Elev P99,Canopy relief ratio,Elev SQRT mean SQ,Elev CURT mean CUBE,Int minimum,Int maximum,Int mean,Int mode,Int stddev,Int variance,Int CV,Int IQ,Int skewness,Int kurtosis,Int AAD,Int L1,Int L2,Int L3,Int L4,Int L CV,Int L skewness,Int L kurtosis,Int P01,Int P05,Int P10,Int P20,Int P25,Int P30,Int P40,Int P50,Int P60,Int P70,Int P75,Int P80,Int P90,Int P95,Int P99,Percentage first returns above 20.00,Percentage all returns above 20.00,(All returns above 20.00) / (Total first returns) * 100,First returns above 20.00,All returns above 20.00,Percentage first returns above mean,Percentage first returns above mode,Percentage all returns above mean,Percentage all returns above mode,(All returns above mean) / (Total first returns) * 100,(All returns above mode) / (Total first returns) * 100,First returns above mean,First returns above mode,All returns above mean,All returns above mode,Total first returns,Total all returns,Profile area
K1,2012,13737,9416,4321,0,0,0,0,0,0,0,0,-0.37,28.629999,14.834332,20.804603,6.999166,48.988321,0.471822,10.620001,-0.629514,2.309448,5.859584,4.559999,4.354602,14.834332,3.927993,-0.678066,0.208821,0.264791,-0.172624,0.053162,-0.06,0.75,3.82,7.48,9.82,11.8,14.69,16.620001,18.335997,19.77,20.440001,21.08,22.549999,23.700001,25.08919,0.524287,16.402505,17.356418,0,220,83.547863,6.984127,51.515802,2653.877896,0.616602,91,0.077982,1.87158,44.603367,83.547863,29.637374,0.576813,0.023393,0.354735,0.019462,0.000789,4,9,13,25,34,45,67,87,103,117,125,133,152,165,186,39.262957,28.237606,41.195837,3697,3879,72.727273,31.435854,59.226905,22.246488,86.406117,32.455395,6848,2960,8136,3056,9416,13737,58.098672
M2,2012,18086,12178,5908,0,0,0,0,0,0,0,0,-0.57,27.75,16.172338,20.108095,6.601544,43.580387,0.4082,7.740001,-1.019089,3.243201,5.204611,3.43,3.011906,16.172338,3.564261,-0.863438,0.479998,0.220392,-0.242249,0.13467,-0.1,0.43,5.47,11.07,13.04,14.68,16.860001,18.01,19.200001,20.25,20.780001,21.5,22.74,24.047501,25.719999,0.591184,17.467756,18.222426,0,260,81.261031,8.253968,51.686377,2671.481597,0.636054,94,0.092714,1.882202,45.223595,81.261031,29.657615,0.601888,-0.37645,0.364967,0.020295,-0.012693,4,8,12,22,30,40,63,85,103,117,124,131,148,160,186,45.762851,32.433927,48.168829,5573,5866,81.351618,44.325833,63.778613,31.355745,94.719987,46.567581,9907,5398,11535,5671,12178,18086,61.865495
M3,2012,13019,9425,3594,0,0,0,0,0,0,0,0,-0.71,27.01,14.785828,-0.27,7.105206,50.483951,0.480542,10.6,-0.651768,2.302418,5.924147,4.33,17.09,14.785828,3.971867,-0.711585,0.240177,0.268627,-0.179156,0.06047,-0.12,0.81,3.12,7.31,9.68,11.943998,14.98,16.82,18.17,19.6,20.280001,20.969999,22.59,23.85,25.4,0.559013,16.404291,17.366751,1,300,105.58069,10.492063,63.670877,4053.980641,0.603054,110,0.025312,1.963602,54.414236,105.58069,36.578133,0.004727,0.505163,0.346447,0.000129,0.013811,5,10,16,32,45,62,90,111,129,146,155,166,189,200,240,35.798408,27.068131,37.38992,3374,3524,74.153846,99.96817,61.003149,99.754205,84.265252,137.793103,6989,9422,7942,12987,9425,13019,57.207709
M4,2012,14069,9090,4979,0,0,0,0,0,0,0,0,-0.4,34.09,19.638902,22.593333,7.434901,55.277751,0.37858,8.73,-0.783255,3.387712,5.74342,4.190001,4.116666,19.638902,4.086631,-0.630589,0.644052,0.208089,-0.154305,0.1576,-0.06,3.524,8.988,14.37,15.88,17.24,19.23,20.9,22.4,23.790001,24.610001,25.42,28.24,30.24,32.720001,0.581006,20.999054,21.903932,0,360,103.54318,11.428571,71.008655,5042.229103,0.685788,131,0.221989,1.911137,62.073246,103.54318,40.665131,2.456845,-0.789466,0.392736,0.060416,-0.019414,4,8,13,24,33,44,74,103,128,152,164,177,200,220,260,69.020902,55.441041,85.808581,6274,7800,71.254125,50.110011,57.530741,38.687895,89.042904,59.878988,6477,4555,8094,5443,9090,14069,59.005731
N1,2012,13955,9225,4730,0,0,0,0,0,0,0,0,-0.63,30.66,16.636262,20.726667,7.519736,56.546432,0.452009,9.43,-0.67163,2.619514,6.067239,4.400001,4.316667,16.636262,4.189995,-0.693029,0.438656,0.251859,-0.165401,0.104691,-0.0746,1.27,3.974,10.03,12.49,14.16,16.49,18.450001,19.84,21.16,21.92,22.932003,25.190001,26.76,29.07,0.551814,18.256713,19.256653,1,300,90.781154,10.492063,59.114048,3494.470664,0.651171,106,0.16802,1.877335,51.456838,90.781154,33.956146,1.577719,-0.337461,0.374044,0.046463,-0.009938,5,9,14,25,33,43,68,92,112,130,139,149,172,186,202,53.214092,38.810462,58.710027,4909,5416,75.902439,46.211382,59.340738,33.371551,89.766938,50.482385,7002,4263,8281,4657,9225,13955,56.217688
N2,2012,13978,9342,4636,0,0,0,0,0,0,0,0,-0.55,30.51,16.289594,17.198572,6.934691,48.089935,0.425713,8.639999,-0.653966,2.876867,5.458436,4.275,4.268571,16.289594,3.864814,-0.548917,0.487834,0.237257,-0.142029,0.126224,-0.08,1.17,5.68,10.88,12.66,13.94,15.91,17.325001,18.75,20.339005,21.299999,22.24,24.392998,26.049999,28.152304,0.542163,17.704162,18.618721,0,260,83.858993,8.253968,53.685895,2882.175365,0.640192,93,0.164345,1.971986,46.356464,83.858993,30.800878,1.231893,0.190225,0.367294,0.039995,0.006176,4,8,13,24,32,42,65,87,104,118,125,133,155,172,200,42.592593,32.143368,48.094626,3979,4493,71.708414,64.076215,57.740735,50.915725,86.394776,76.18283,6699,5986,8071,7117,9342,13978,56.842206
N3,2012,13714,8966,4748,0,0,0,0,0,0,0,0,-0.45,35.43,19.655384,20.052857,7.009812,49.137464,0.356636,8.6075,-0.922808,3.527131,5.444672,4.184999,4.39,19.655384,3.831601,-0.715948,0.546785,0.194939,-0.186854,0.142704,0.01,4.65,9.53,14.726001,16.139999,17.35,19.452002,20.915001,22.4,23.930996,24.747499,25.540001,27.34,28.5,30.812206,0.560351,20.86787,21.667833,0,340,90.624617,10.793651,59.823756,3578.881757,0.660127,105,0.230148,1.975526,51.659799,90.624617,34.320146,2.095966,0.013126,0.378707,0.061071,0.000382,4,9,13,24,33,44,68,90,110,128,138,148,175,191,220,73.187598,56.934519,87.084542,6562,7808,75.496319,72.808387,59.056439,56.606388,90.330136,86.582646,6769,6528,8099,7763,8966,13714,62.74861
N4,2012,14104,9228,4876,0,0,0,0,0,0,0,0,-0.47,35.389999,17.616714,22.298254,7.212343,52.017885,0.409403,9.752501,-0.732869,2.880374,5.817634,4.289999,4.088254,17.616714,4.002876,-0.701582,0.43727,0.22722,-0.175269,0.109239,-0.06,2.3215,6.78,11.39,13.157499,14.99,17.422003,19.309999,20.809999,22.299999,22.91,23.58,25.41,26.838497,29.620001,0.50437,19.03583,19.950999,1,340,93.331608,11.761905,62.664008,3926.777854,0.671412,110,0.250212,1.903357,54.165479,93.331608,35.953797,2.572629,-0.272848,0.385226,0.071554,-0.007589,4,9,13,25,33,43,68,92,111,132,143,157,182,200,220,60.283919,45.497731,69.538362,5563,6417,74.642393,42.241006,58.969087,30.076574,90.127872,45.968791,6888,3898,8317,4242,9228,14104,58.446792
J1,2012,40670,30529,10141,0,0,0,0,0,0,0,0,-0.42,33.68,18.278728,21.772064,6.923619,47.936501,0.37878,8.98,-0.419422,2.916099,5.561371,4.29,4.447936,18.278728,3.885383,-0.35836,0.485697,0.212563,-0.092233,0.125006,0.02,5.59,8.88,12.22,13.8,15.08,17.365997,19.41,20.98,22.200001,22.780001,23.67,26.280001,29.365509,32.209999,0.54835,19.546028,20.485234,0,74,27.772092,32.888889,15.101633,228.059321,0.54377,24,0.065155,2.170211,12.626108,27.772092,8.661533,0.04722,0.4349,0.311879,0.005452,0.050211,2,4,6,12,15,19,24,29,33,37,39,41,48,52,61,56.310393,46.727317,62.249009,17191,19004,65.947132,40.692456,55.625768,33.678387,74.103312,44.865538,20133,12423,22623,13697,30529,40670,55.748897
J2,2012,13909,9714,4195,0,0,0,0,0,0,0,0,-0.35,32.959999,18.84081,22.385396,6.37133,40.59384,0.338166,7.58,-0.727113,3.431429,4.951072,3.560001,3.765395,18.84081,3.506423,-0.511127,0.554071,0.186108,-0.145769,0.158016,0.93,5.68,9.938001,14.1,15.43,16.573999,18.48,20.059999,21.200001,22.49,23.01,23.654003,25.799999,28,31,0.576128,19.888868,20.64113,0,73,24.176936,6.952381,14.114964,199.232209,0.583819,24,0.222045,2.178918,11.969166,24.176936,8.089116,0.371034,0.259583,0.33458,0.045868,0.03209,2,4,5,9,11,14,20,24,29,33,35,37,43,48,56,65.132798,50.427781,72.205065,6327,7014,72.843319,40.889438,57.660508,30.778633,82.561252,44.070414,7076,3972,8020,4281,9714,13909,59.764555
J3,2012,53550,38908,14642,0,0,0,0,0,0,0,0,-1.16,35.900002,19.658428,21.781906,7.87563,62.025551,0.400624,10.33,-0.531505,2.851865,6.316313,5.099999,5.121906,19.658428,4.420324,-0.50321,0.526272,0.224856,-0.11384,0.119057,-0.0151,4.14,8.33,13.13,14.84,16.1,18.809999,20.889999,22.559999,24.26,25.17,26.360001,28.799999,31.41,34.260235,0.561749,21.177303,22.23666,0,77,26.004295,4.888889,14.911791,222.36152,0.573436,24,0.096121,2.072045,12.669117,26.004295,8.564964,0.133075,0.25116,0.329367,0.015537,0.029324,2,3,5,10,13,16,22,27,31,35,37,40,46,50,58,67.39488,54.718954,75.31099,26222,29302,69.271101,56.692711,56.485528,44.862745,77.742367,61.745656,26952,22058,30248,24024,38908,53550,56.379971
K2,2012,13316,9463,3853,0,0,0,0,0,0,0,0,-0.34,31.24,17.861946,23.720952,7.074437,50.047661,0.396062,8.620001,-0.842806,3.10036,5.579656,4.109999,4.759048,17.861946,3.888245,-0.748516,0.501611,0.217683,-0.192508,0.129007,-0.03,2.4775,6.71,12.25,14.41,15.835,17.799999,19.35,20.9,22.309999,23.030001,23.76,25.244999,26.799999,29.68,0.576376,19.211794,20.068179,0,280,93.660033,8.888889,55.24151,3051.624481,0.589809,96,-0.056038,1.883485,47.67733,93.660033,31.729391,-0.647246,0.222089,0.338772,-0.020399,0.006999,5,10,15,30,41,54,80,101,117,131,137,145,163,179,200,58.776287,45.764494,64.398182,5562,6094,72.492867,27.168974,59.589967,20.26134,83.852901,28.511043,6860,2571,7935,2698,9463,13316,59.175538
J4,2012,29586,19973,9613,0,0,0,0,0,0,0,0,-0.86,34.860001,22.294177,22.953334,7.054723,49.769118,0.316438,8.110001,-0.963929,4.117678,5.329734,4.075001,4.043334,22.294177,3.831034,-0.580925,0.637741,0.17184,-0.151637,0.166467,0.17,7.4225,13.52,17.879999,19,19.91,21.57,23.215,24.41,25.950001,27.110001,28.35,30.9,31.9175,33.490002,0.648213,23.383707,24.142102,0,70,23.189042,30,14.017085,196.478678,0.60447,24,0.249532,2.113386,11.950691,23.189042,8.034095,0.467156,0.185471,0.346461,0.058147,0.023086,2,3,5,8,10,13,18,23,27,32,34,36,42,47,55,84.028438,69.306429,102.663596,16783,20505,72.107345,67.68137,56.131278,52.017846,83.147249,77.054023,14402,13518,16607,15390,19973,29586,65.566942
I1,2012,55765,39150,16615,0,0,0,0,0,0,0,0,-0.41,32.57,18.789986,20.529682,6.09235,37.116722,0.324234,7.570001,-0.816378,3.776869,4.722838,3.690001,3.669682,18.789986,3.345794,-0.467338,0.511214,0.178063,-0.139679,0.152793,0.44,7.1,10.87,14.36,15.45,16.459999,18.15,19.76,20.91,22.219999,23.02,23.809999,25.780001,27.379999,29.610001,0.582171,19.752965,20.441579,0,70,25.494163,30,14.692556,215.871196,0.576311,25,0.120413,2.029445,12.541831,25.494163,8.444103,0.205018,0.189886,0.331217,0.024279,0.022487,2,4,5,10,12,15,21,26,30,35,37,39,45,49,57,61.180077,48.019367,68.398467,23952,26778,69.295019,56.595147,56.234197,43.654622,80.099617,62.181354,27129,22157,31359,24344,39150,55765,62.435696
I2,2012,111564,77264,34300,0,0,0,0,0,0,0,0,-0.58,33.369999,19.100435,18.819999,5.374271,28.882786,0.281369,5.799999,-1.163468,4.834449,3.969252,2.879999,3.220001,19.100435,2.860012,-0.550337,0.543553,0.149735,-0.192425,0.190053,0.41,8.08,12.26,15.64,16.860001,17.77,18.950001,19.940001,20.969999,22.059999,22.66,23.33,24.780001,25.940001,27.84,0.579689,19.842105,20.362353,0,75,24.435158,5.952381,13.901951,193.264254,0.568932,24,0.078429,2.001713,11.921608,24.435158,7.992691,0.1023,0.144991,0.327098,0.012799,0.01814,2,4,5,9,12,15,20,25,29,33,36,38,43,46,53,66.438445,49.361801,71.275109,51333,55070,75.601833,78.076465,58.480334,61.468753,84.441655,88.75673,58413,60325,65243,68577,77264,111564,67.545779
I3,2012,128932,95162,33770,0,0,0,0,0,0,0,0,-1,31.040001,18.180657,19.342858,5.793166,33.560777,0.318645,7.610001,-0.81702,3.642499,4.531777,3.759999,3.647142,18.180657,3.19735,-0.460657,0.424417,0.175865,-0.144075,0.13274,0.19,7.13,10.53,13.76,14.82,15.95,17.57,18.879999,20.27,21.790001,22.43,23.190001,24.82,26.190001,27.6,0.598647,19.081321,19.730528,0,75,26.779411,36.904762,14.584999,212.72221,0.544635,24,-0.066488,1.982075,12.459638,26.779411,8.376122,-0.220545,0.199283,0.312782,-0.02633,0.023792,2,4,6,11,14,17,23,28,33,36,38,40,45,49,55,52.174187,41.777061,56.602425,49650,53864,66.836552,57.82245,55.326063,46.918531,74.959543,63.568441,63603,55025,71333,60493,95162,128932,64.838011
I4,2012,217144,152116,65028,0,0,0,0,0,0,0,0,-1.38,32.77,20.97336,25.723175,6.149908,37.821375,0.293225,8.460001,-0.931966,4.041855,4.838989,3.98,4.223175,20.97336,3.368679,-0.539081,0.431383,0.160617,-0.160027,0.128057,0.44,9.6,13.52,16.02,17.15,18.450001,20.41,21.969999,23.459999,24.959999,25.610001,26.17,27.6,29.129999,31.34,0.654564,21.856418,22.498752,0,65,24.778175,31.984127,14.131621,199.702699,0.570325,24,0.051127,1.97745,12.067908,24.778175,8.126406,0.058873,0.160933,0.327966,0.007245,0.019804,2,3,5,9,12,15,21,26,30,34,36,38,43,47,54,76.70462,62.233357,88.837466,116680,135136,71.437587,32.57251,56.559702,23.914085,80.738384,34.137106,108668,49548,122816,51928,152116,217144,65.911302
H1,2012,13228,9667,3561,0,0,0,0,0,0,0,0,-0.36,32.349998,17.845627,20.927459,6.817527,46.478672,0.382028,9.119999,-0.664989,2.948159,5.479742,3.91,3.47254,17.845627,3.77502,-0.619946,0.46385,0.211538,-0.164223,0.122873,0.02,4.6935,7.49,11.833999,13.51,15.24,17.77,19.559999,20.940001,21.950001,22.629999,23.290001,24.700001,26.549999,30.99461,0.556577,19.103443,19.967164,0,65,23.63101,31.984127,12.705675,161.434185,0.53767,21,0.017285,2.016622,10.815011,23.63101,7.309904,-0.017589,0.217635,0.309335,-0.002406,0.029773,2,4,6,10,13,15,20,24,28,32,34,36,40,44,49,59.615186,47.369217,64.818455,5763,6266,72.183718,51.649943,59.631086,40.21016,81.597186,55.022241,6978,4993,7888,5319,9667,13228,56.571869
H2,2012,12430,9664,2766,0,0,0,0,0,0,0,0,-0.38,27.33,16.202545,20.732381,6.036882,36.443944,0.372589,8.27,-0.688227,2.816077,4.944964,3.91,3.99,16.202545,3.376174,-0.536335,0.303523,0.208373,-0.158859,0.089901,0.07,4.8145,7.389,11.02,12.6,13.667,15.486001,17.530001,18.99,20.299999,20.870001,21.469999,22.940001,24.219999,25.870001,0.598432,17.29056,18.042528,0,57,25.256959,31.666667,12.545597,157.392008,0.496718,20,-0.192245,2.054938,10.570974,25.256959,7.190336,-0.409817,0.299267,0.284687,-0.056996,0.041621,2,4,6,12,15,18,23,27,30,33,35,37,41,44,49,39.766142,32.453741,41.74255,3843,4034,65.521523,32.377897,56.613033,26.307321,72.816639,33.836921,6332,3129,7037,3270,9664,12430,61.619646
H3,2012,12620,9560,3060,0,0,0,0,0,0,0,0,-0.36,28.67,16.95297,22.218889,6.619602,43.819125,0.390469,9.71,-0.734215,2.683153,5.475565,4.285002,3.91889,16.95297,3.69106,-0.679141,0.286314,0.217724,-0.183996,0.07757,0.1019,3.73,6.799,11.02,12.45,13.94,16.82,18.685001,20.129999,21.549999,22.16,22.74,24.209999,25.209999,26.889999,0.596382,18.199419,19.026551,0,60,24.444612,28.571429,12.531859,157.047491,0.512663,20,-0.140969,2.061621,10.549422,24.444612,7.183418,-0.320465,0.304076,0.293865,-0.044612,0.04233,2,4,6,11,14,17,22,26,29,32,34,36,40,43,49,50.366109,40.847861,53.922594,4815,5155,70.062762,31.297071,59.37401,24.55626,78.378661,32.416318,6698,2992,7493,3099,9560,12620,62.027922
H4,2012,12416,9920,2496,0,0,0,0,0,0,0,0,-0.49,28.43,15.96186,19.249048,5.764488,33.229323,0.361141,8.039999,-0.628942,2.92819,4.685059,3.88,3.759048,15.96186,3.229153,-0.437209,0.327816,0.202304,-0.135394,0.101518,0.2515,4.85,7.93,11.25,12.27,13.245,15.22,16.965,18.41,19.66,20.309999,20.93,22.709999,23.620001,26.228497,0.568875,16.970788,17.691648,0,72,25.095925,32,11.994316,143.863613,0.477939,18,-0.265837,2.140375,10.050163,25.095925,6.848164,-0.528714,0.358277,0.27288,-0.077205,0.052317,2,4,7,12,16,19,23,27,30,33,34,36,40,43,47,32.631048,27.432345,34.334677,3237,3406,63.4375,39.879032,55.509021,33.658183,69.475806,42.127016,6293,3956,6892,4179,9920,12416,59.827781
G1,2012,13222,9694,3528,0,0,0,0,0,0,0,0,-0.38,29.93,17.347502,21.751111,7.198804,51.822783,0.414976,10.12,-0.714471,2.705681,5.898472,4.844999,4.290001,17.347502,4.02369,-0.691746,0.32632,0.231946,-0.171918,0.0811,-0.04,2.3005,6.43,11.21,12.94,14.38,16.799999,18.895,20.690001,22.24,23.059999,23.93,25.5,26.379999,28.01,0.584873,18.781765,19.704608,0,58,22.570186,31.301587,11.959283,143.024459,0.529871,20,-0.06327,1.97885,10.210755,22.570186,6.876453,-0.163539,0.176462,0.30467,-0.023783,0.025662,2,4,5,10,12,15,20,24,27,30,32,34,38,41,46,52.929647,43.351989,59.129358,5131,5732,67.340623,42.851248,57.336258,33.671154,78.203012,45.925315,6528,4154,7581,4452,9694,13222,60.917086
